,state,state_name,state_abbrev,state_population,state_swing,death_proportion,state_pop_density,hospitals_per_head,median_salary,race pop,population,perc_of_pop_race
161,Iowa,Iowa,Iowa,3167974,0.0,0.08352341275528145,56.7158,3.6477473264759755e-05,"43,000.00",asian_pop,75672,0.02388655967504784
162,Idaho,Idaho,Idaho,1860123,0.0,0.05182452988323891,22.5079,2.5199273109891108e-05,"45,000.00",asian_pop,24186,0.013002365972572781
163,Illinois,Illinois,Ill.,12569321,3.0,0.10494600304980675,226.3967,1.420162474287376e-05,"50,000.00",asian_pop,710119,0.05649621009758602
164,Indiana,Indiana,Ind.,6805663,0.0,0.12161930439400247,189.9644,1.8015027066777225e-05,"45,000.00",asian_pop,169824,0.02495333665507681
165,Kansas,Kansas,Kans.,2917224,0.0,0.10660820012450192,35.6808,4.4170607247011395e-05,"45,000.00",asian_pop,85643,0.02935770444779009
166,Kentucky,Kentucky,Ky.,4480713,0.0,0.1793910924444391,113.476,2.4194150575987513e-05,"44,000.00",asian_pop,72276,0.016130468521416124
167,Louisiana,Louisiana,La.,4627002,0.0,0.1258914519596058,107.0966,4.4228916871379225e-05,"43,000.00",asian_pop,81016,0.01750939377160416
168,Massachusetts,Massachusetts,Mass.,6912239,3.0,0.1135232737178214,886.1845,1.2750131869411143e-05,"57,000.00",asian_pop,470127,0.0680137072806655
169,Maryland,Maryland,Md.,6065436,3.0,0.08960608932317479,624.8518,8.563488525000874e-06,"55,000.00",asian_pop,383867,0.0632876185652606
170,Maine,Maine,Maine,1354522,3.0,0.03240995716570126,43.9167,2.5495522830446802e-05,"43,000.00",asian_pop,15094,0.011143414429592137
171,Michigan,Michigan,Mich.,9992427,1.0,0.1427881334534643,176.7351,1.427225652076337e-05,"48,000.00",asian_pop,325616,0.0325862775880174
172,Minnesota,Minnesota,Minn.,5706398,3.0,0.05025937552901147,71.6641,1.9518141516379438e-05,"50,000.00",asian_pop,283422,0.04966740840719487
173,Missouri,Missouri,Mo.,6169038,0.0,0.12105615170469043,89.7419,2.0689633478531846e-05,"45,000.00",asian_pop,126278,0.020469642106273295
174,Mississippi,Mississippi,Miss.,2966407,0.0,0.21753589443390606,63.2186,3.021896943073128e-05,"37,000.00",asian_pop,30836,0.010395067163743882
175,Montana,Montana,Mont.,1085004,0.0,0.12396267663529352,7.4547,5.087829387197946e-05,"40,000.00",asian_pop,8675,0.00799536222907934
176,North Carolina,North Carolina,N.C.,10701022,0.0,0.09005681887206661,220.1041,9.678110581932433e-06,"42,900.00",asian_pop,307366,0.028723050938499146
177,North Dakota,North Dakota,N.D.,770026,0.0,0.09207481305826037,11.1596,5.928333128741839e-05,"46,000.00",asian_pop,10630,0.013804728671499403
178,Nebraska,Nebraska,Nebr.,1951996,0.0,0.08796124582222505,25.4087,4.8008463525090874e-05,"45,000.00",asian_pop,47389,0.02427720138770776
179,New Hampshire,New Hampshire,N.H.,1372203,3.0,0.029150205909766996,153.2674,2.043970365930724e-05,"50,000.00",asian_pop,35761,0.026061012838479437
180,New Jersey,New Jersey,N.J.,8874520,3.0,0.12725195278167156,1206.7609,8.689756384541991e-06,"56,000.00",asian_pop,849020,0.09566939958442823
181,New Mexico,New Mexico,N.M.,2105005,3.0,0.10403775763002938,17.354,2.4600004527362397e-05,"38,480.00",asian_pop,33694,0.016006612810895937
182,Nevada,Nevada,Nev.,3185786,3.0,0.1585166109713584,29.0195,1.7400414335226366e-05,"45,000.00",asian_pop,256708,0.08057917261234747
183,New York,New York,N.Y.,19299981,3.0,0.3489744368142124,409.54,9.034072609650523e-06,"50,000.00",asian_pop,1669362,0.0864955255655433
184,Ohio,Ohio,Ohio,11714618,0.0,0.0864304751550584,286.6944,1.6288879749548327e-05,"46,002.00",asian_pop,273219,0.023322911596434473
185,Oklahoma,Oklahoma,Okla.,3990443,0.0,0.12221700698393637,58.174,3.4856764891466056e-05,"45,000.00",asian_pop,88647,0.02221482677487186
186,Oregon,Oregon,Ore.,4289439,3.0,0.2817384744252104,44.6872,1.3129723708897647e-05,"45,000.00",asian_pop,191850,0.04472612852170179
187,Pennsylvania,Pennsylvania,Pa.,12804123,1.0,0.12648269623776653,286.1704,1.583562204503846e-05,"49,088.00",asian_pop,450916,0.03521646894519836
188,Rhode Island,Rhode Island,R.I.,1061509,3.0,0.11822791893427187,1026.6044,1.2618726685303823e-05,"50,000.00",asian_pop,36215,0.03411652656736778
189,South Carolina,South Carolina,S.C.,5277830,0.0,0.12993976691178002,175.5707,1.442214831830952e-05,"45,000.00",asian_pop,86100,0.016313522792511317
190,South Dakota,South Dakota,S.D.,896581,0.0,0.07807437364833741,11.8265,6.564064602918741e-05,"40,000.00",asian_pop,11530,0.012859964688076148
191,Tennessee,Tennessee,Tenn.,6944260,0.0,0.13802766601480934,168.4069,1.8549890275447162e-05,"42,000.00",asian_pop,124108,0.01787202668102865
192,Texas,Texas,Tex.,29730311,0.0,0.1256259983287763,113.8081,1.5183428657777294e-05,"45,000.00",asian_pop,1430236,0.04810699760254778
193,Utah,Utah,Utah,3310774,0.0,0.017669584212030177,40.2918,1.6058068036761634e-05,"45,000.00",asian_pop,75560,0.022822457830102567
194,Virginia,Virginia,Va.,8603985,3.0,0.06639946489911361,217.8776,1.0365921755339841e-05,"54,000.00",asian_pop,560030,0.06508960673455381
195,Vermont,Vermont,Vt.,623251,3.0,0.01203367503622136,67.6197,2.5247217469933518e-05,"50,000.00",asian_pop,8470,0.013590030340905992
196,Washington,Washington,Wash.,7796941,3.0,0.03633476256906395,117.3249,1.2204516455471718e-05,"54,000.00",asian_pop,680421,0.08726768613485725
197,Wisconsin,Wisconsin,Wis.,5852490,1.0,0.1378216793194008,108.0633,2.240169144189414e-05,"45,000.00",asian_pop,166443,0.028439689773070948
198,West Virginia,West Virginia,W.Va.,1767859,0.0,0.10283625560635774,73.5443,3.147913480941002e-05,"39,185.00",asian_pop,14085,0.007967264357621281
199,Wyoming,Wyoming,Wyo.,581075,0.0,0.053177300692681666,5.9847,4.7920494211880216e-05,"45,000.00",asian_pop,4544,0.007819988813836424
200,Alaska,Alaska,Alaska,724357,0.0,0.040863828195213135,1.2694,3.276299716778923e-05,"50,000.00",pacific_pop,9715,0.013411894963395121
201,Alabama,Alabama,Ala.,4934193,0.0,0.13734768785898727,97.4271,1.9396795108741385e-05,"46,000.00",pacific_pop,1520,0.00030805442754265996
202,Arkansas,Arkansas,Ark.,3033946,0.0,0.14255362488323786,58.3059,3.011510057621537e-05,"42,000.00",pacific_pop,12673,0.004177068411896586
203,Arizona,Arizona,Ariz.,7520103,1.0,0.1666599513331134,66.2016,1.349402668929339e-05,"43,000.00",pacific_pop,13361,0.0017767043882244698
204,California,California,Calif.,39613493,3.0,0.13017029323821558,254.2929,9.407324336285771e-06,"48,200.00",pacific_pop,141846,0.003580749619832818
205,Colorado,Colorado,Colo.,5893634,3.0,0.042265943219412676,56.8653,1.5292519701125808e-05,"46,000.00",pacific_pop,6727,0.001141401043906018
206,Connecticut,Connecticut,Conn.,3552821,3.0,0.10574695432165032,733.7507,9.710593356659398e-06,"55,000.00",pacific_pop,1155,0.0003250937775925103
207,Delaware,Delaware,Del.,990334,3.0,0.07391445714274174,508.1242,1.3172688027213313e-05,"44,000.00",pacific_pop,428,0.0004321774270094736
208,Florida,Florida,Fla.,21944577,0.0,0.12139673505668394,409.2229,1.1537884735713976e-05,"40,000.00",pacific_pop,13927,0.000634644267693107
209,Georgia,Georgia,Ga.,10830007,1.0,0.10792236791721371,188.3054,1.3351502809235498e-05,"42,000.00",pacific_pop,5811,0.0005365647501428208
210,Hawaii,Hawaii,Hawaii,1406430,3.0,0.022681541207169927,218.9678,1.665605055131266e-05,"48,000.00",pacific_pop,140656,0.100009243261307
211,Iowa,Iowa,Iowa,3167974,0.0,0.08352341275528145,56.7158,3.6477473264759755e-05,"43,000.00",pacific_pop,1406,0.00044381677374877445
212,Idaho,Idaho,Idaho,1860123,0.0,0.05182452988323891,22.5079,2.5199273109891108e-05,"45,000.00",pacific_pop,2289,0.001230563785298069
213,Illinois,Illinois,Ill.,12569321,3.0,0.10494600304980675,226.3967,1.420162474287376e-05,"50,000.00",pacific_pop,2897,0.000230481821571746
214,Indiana,Indiana,Ind.,6805663,0.0,0.12161930439400247,189.9644,1.8015027066777225e-05,"45,000.00",pacific_pop,2726,0.0004005487782747985
215,Kansas,Kansas,Kans.,2917224,0.0,0.10660820012450192,35.6808,4.4170607247011395e-05,"45,000.00",pacific_pop,2092,0.0007171201114484181
216,Kentucky,Kentucky,Ky.,4480713,0.0,0.1793910924444391,113.476,2.4194150575987513e-05,"44,000.00",pacific_pop,3903,0.0008710667253180465
217,Louisiana,Louisiana,La.,4627002,0.0,0.1258914519596058,107.0966,4.4228916871379225e-05,"43,000.00",pacific_pop,938,0.00020272305912121932
218,Massachusetts,Massachusetts,Mass.,6912239,3.0,0.1135232737178214,886.1845,1.2750131869411143e-05,"57,000.00",pacific_pop,2473,0.00035777119396479204
219,Maryland,Maryland,Md.,6065436,3.0,0.08960608932317479,624.8518,8.563488525000874e-06,"55,000.00",pacific_pop,2297,0.0003787031962747608
220,Maine,Maine,Maine,1354522,3.0,0.03240995716570126,43.9167,2.5495522830446802e-05,"43,000.00",pacific_pop,222,0.0001638954553709722
221,Michigan,Michigan,Mich.,9992427,1.0,0.1427881334534643,176.7351,1.427225652076337e-05,"48,000.00",pacific_pop,1900,0.0001901439960482073
222,Minnesota,Minnesota,Minn.,5706398,3.0,0.05025937552901147,71.6641,1.9518141516379438e-05,"50,000.00",pacific_pop,2618,0.00045878328150262214
223,Missouri,Missouri,Mo.,6169038,0.0,0.12105615170469043,89.7419,2.0689633478531846e-05,"45,000.00",pacific_pop,8469,0.0013728234450817128
224,Mississippi,Mississippi,Miss.,2966407,0.0,0.21753589443390606,63.2186,3.021896943073128e-05,"37,000.00",pacific_pop,175,5.899392767074781e-05
225,Montana,Montana,Mont.,1085004,0.0,0.12396267663529352,7.4547,5.087829387197946e-05,"40,000.00",pacific_pop,224,0.00020645085179409476
226,North Carolina,North Carolina,N.C.,10701022,0.0,0.09005681887206661,220.1041,9.678110581932433e-06,"42,900.00",pacific_pop,5003,0.00046752543822449857
227,North Dakota,North Dakota,N.D.,770026,0.0,0.09207481305826037,11.1596,5.928333128741839e-05,"46,000.00",pacific_pop,2792,0.0036258515946214803
228,Nebraska,Nebraska,Nebr.,1951996,0.0,0.08796124582222505,25.4087,4.8008463525090874e-05,"45,000.00",pacific_pop,1733,0.0008878091963303203
